"","unique_ID","species","temperature","replicate","start_time","cell_count","volume"
"1","BB_16_1","BB",16,"1",2016-08-12 14:23:57,2055,1130.47
"2","BB_16_3","BB",16,"3",2016-08-12 14:31:00,1982,636.81
"3","BB_16_4","BB",16,"4",2016-08-12 14:34:34,2705,878.75
"4","BB_16_5","BB",16,"5",2016-08-12 14:41:17,2510,839.74
"5","BB_25_1","BB",25,"1",2016-08-12 15:48:14,9590,680.6
"6","BB_25_2","BB",25,"2",2016-08-12 15:52:02,14093,813.62
"7","BB_25_3","BB",25,"3",2016-08-12 15:57:53,13162,1041.59
"8","BB_25_4","BB",25,"4",2016-08-12 16:01:58,9289,952.73
"9","BB_25_5","BB",25,"5",2016-08-12 16:05:03,9500,812.55
"10","CH_16_1","CH",16,"1",2016-08-12 13:59:53,1129,268.53
"11","CH_16_3","CH",16,"3",2016-08-12 13:59:53,NA,209.85
"12","CH_16_4","CH",16,"4",2016-08-12 14:12:19,784,260.86
"13","CH_16_5","CH",16,"5",2016-08-12 14:16:17,1138,240.58
"14","CH_25_1","CH",25,"1",2016-08-12 15:32:05,11656,598.96
"15","CH_25_2","CH",25,"2",2016-08-12 15:35:21,9404,667.42
"16","CH_25_3","CH",25,"3",2016-08-12 15:38:45,8445,590.65
"17","CH_25_4","CH",25,"4",2016-08-12 15:41:50,6740,654.88
"18","CO_NA_1","CO",NA,"1",2016-08-12 14:45:31,126,779.64
"19","X2_NA_O","X2",NA,"O",2016-08-12 16:08:54,1512,732.89
"20","TT_16_1","TT",16,"1",2016-08-12 13:26:42,2320,863.33
"21","TT_16_3","TT",16,"3",2016-08-12 13:36:38,2415,772.04
"22","TT_16_4","TT",16,"4",2016-08-12 13:49:27,2259,762.62
"23","TT_16_5","TT",16,"5",2016-08-12 13:45:59,2366,860.69
"24","TT_25_1","TT",25,"1",2016-08-12 15:14:39,12219,1052.09
"25","TT_25_2","TT",25,"2",2016-08-12 15:18:00,9217,1084.8
"26","TT_25_3","TT",25,"3",2016-08-12 15:21:38,10637,1064.55
"27","TT_25_4","TT",25,"4",2016-08-12 15:25:21,12277,1030.37
"28","TT_25_5","TT",25,"5",2016-08-12 15:28:40,14747,1066.94
"29","BB_16_1","BB",16,"1",2016-08-16 15:26:00,67896,682.91
"30","BB_16_3","BB",16,"3",2016-08-16 15:33:00,78971,712.8
"31","BB_16_4","BB",16,"4",2016-08-16 15:37:00,79814,709.49
"32","BB_16_5","BB",16,"5",2016-08-16 15:40:00,74180,670.8
"33","BB_25_1","BB",25,"1",2016-08-16 16:21:00,86202,948.42
"34","BB_25_3","BB",25,"3",2016-08-16 16:26:00,110685,662.51
"35","BB_25_3","BB",25,"3",2016-08-16 16:30:00,126750,664.18
"36","BB_25_4","BB",25,"4",2016-08-16 16:33:00,110625,673.8
"37","BB_25_5","BB",25,"5",2016-08-16 16:37:00,143472,641.06
"38","CH_16_1","CH",16,"1",2016-08-16 14:43:31,104803,388.98
"39","CH_16_3","CH",16,"3",2016-08-16 14:54:06,120321,387.2
"40","CH_16_4","CH",16,"4",2016-08-16 14:57:34,121740,388.51
"41","CH_16_5","CH",16,"5",2016-08-16 15:01:00,55798,446.39
"42","CH_25_1","CH",25,"1",2016-08-16 15:44:51,143934,366.51
"43","CH_25_2","CH",25,"2",2016-08-16 15:48:25,169163,359.69
"44","CH_25_3","CH",25,"3",2016-08-16 15:51:55,155732,380.72
"45","CH_25_4","CH",25,"4",2016-08-16 15:56:51,163403,362.4
"46","TT_16_1","TT",16,"1",2016-08-16 15:05:02,96446,959.53
